iter	Passed	Remaining
0	75	151388
1	143	142909
2	206	137165
3	267	133487
4	330	131764
5	394	131258
6	459	130727
7	521	129976
8	583	129026
9	643	128151
10	707	127898
11	781	129504
12	861	131712
13	944	133956
14	1042	137911
15	1113	138095
16	1174	136975
17	1255	138192
18	1341	139821
19	1423	140958
20	1490	140506
21	1559	140171
22	1624	139599
23	1686	138887
24	1749	138194
25	1814	137787
26	1874	137013
27	1938	136525
28	1997	135794
29	2058	135142
30	2116	134424
31	2176	133827
32	2237	133360
33	2296	132785
34	2361	132573
35	2423	132236
36	2485	131848
37	2546	131478
38	2607	131100
39	2669	130784
40	2732	130550
41	2791	130154
42	2853	129850
43	2917	129709
44	2979	129423
45	3040	129164
46	3101	128896
47	3162	128612
48	3225	128415
49	3291	128371
50	3366	128640
51	3441	128934
52	3565	130974
53	3646	131416
54	3728	131845
55	3810	132294
56	3881	132295
57	3939	131913
58	4010	131931
59	4072	131683
60	4132	131348
61	4199	131278
62	4258	130930
63	4321	130725
64	4386	130575
65	4451	130449
66	4510	130131
67	4569	129833
68	4634	129685
69	4693	129415
70	4753	129147
71	4813	128894
72	4876	128731
73	4948	128788
74	5020	128867
75	5089	128834
76	5156	128786
77	5228	128823
78	5296	128787
79	5362	128697
80	5430	128662
81	5493	128492
82	5555	128313
83	5616	128109
84	5677	127917
85	5739	127746
86	5802	127582
87	5865	127449
88	5925	127229
89	5984	127011
90	6043	126782
91	6102	126562
92	6160	126313
93	6224	126211
94	6292	126187
95	6362	126197
96	6434	126234
97	6500	126171
98	6559	125963
99	6620	125784
100	6680	125602
101	6741	125441
102	6803	125297
103	6863	125130
104	6925	124982
105	6988	124875
106	7050	124739
107	7108	124528
108	7172	124440
109	7231	124250
110	7289	124046
111	7354	123967
112	7423	123973
113	7483	123807
114	7548	123729
115	7615	123693
116	7680	123616
117	7744	123523
118	7811	123481
119	7875	123376
120	7938	123278
121	8004	123219
122	8069	123136
123	8132	123035
124	8194	122916
125	8258	122833
126	8333	122908
127	8408	122967
128	8484	123052
129	8554	123053
130	8622	123025
131	8693	123025
132	8765	123041
133	8877	123628
134	8990	124198
135	9091	124607
136	9187	124939
137	9273	125130
138	9340	125052
139	9411	125034
140	9478	124967
141	9542	124864
142	9609	124787
143	9671	124655
144	9736	124561
145	9797	124415
146	9856	124245
147	9923	124179
148	9986	124055
149	10052	123986
150	10118	123899
151	10185	123831
152	10246	123691
153	10315	123650
154	10386	123629
155	10450	123532
156	10513	123421
157	10579	123338
158	10641	123209
159	10704	123106
160	10770	123019
161	10836	122949
162	10908	122934
163	10978	122902
164	11052	122914
165	11128	122946
166	11205	122986
167	11277	122981
168	11357	123052
169	11435	123098
170	11511	123125
171	11587	123154
172	11666	123209
173	11746	123275
174	11821	123283
175	11893	123263
176	11967	123261
177	12002	122854
178	12067	122767
179	12136	122714
180	12251	123126
181	12361	123479
182	12463	123753
183	12558	123950
184	12691	124517
185	12812	124960
186	12914	125210
187	12988	125190
188	13057	125121
189	13133	125116
190	13199	125015
191	13262	124888
192	13330	124808
193	13400	124745
194	13461	124603
195	13519	124430
196	13578	124272
197	13639	124136
198	13698	123972
199	13758	123825
200	13818	123675
201	13881	123557
202	13939	123391
203	13998	123243
204	14068	123189
205	14134	123095
206	14200	123004
207	14301	123215
208	14417	123551
209	14520	123770
210	14624	123996
211	14691	123907
212	14753	123776
213	14813	123629
214	14875	123500
215	14935	123354
216	15002	123268
217	15064	123142
218	15122	122982
219	15183	122849
220	15240	122683
221	15300	122543
222	15361	122408
223	15418	122243
224	15478	122105
225	15538	121971
226	15595	121811
227	15652	121652
228	15712	121516
229	15773	121388
230	15832	121247
231	15895	121132
232	15959	121034
233	16018	120893
234	16080	120772
235	16141	120654
236	16200	120512
237	16263	120404
238	16324	120282
239	16389	120189
240	16454	120096
241	16516	119981
242	16574	119844
243	16635	119721
244	16697	119609
245	16760	119504
246	16819	119371
247	16878	119240
248	16936	119102
249	16998	118986
250	17055	118842
251	17114	118717
252	17173	118586
253	17232	118453
254	17288	118308
255	17354	118227
256	17414	118106
257	17477	118004
258	17537	117889
259	17562	117536
260	17622	117414
261	17685	117318
262	17748	117219
263	17814	117144
264	17873	117021
265	17933	116903
266	17992	116782
267	18050	116654
268	18110	116537
269	18168	116413
270	18229	116303
271	18290	116195
272	18353	116104
273	18412	115984
274	18473	115882
275	18534	115771
276	18594	115662
277	18649	115521
278	18675	115200
279	18733	115076
280	18793	114965
281	18856	114880
282	18921	114800
283	18979	114677
284	19037	114559
285	19101	114475
286	19162	114374
287	19222	114268
288	19287	114190
289	19360	114162
290	19441	114176
291	19522	114190
292	19603	114207
293	19707	114355
294	19749	114145
295	19839	114212
296	19913	114184
297	19999	114224
298	20061	114128
299	20124	114039
300	20187	113949
301	20249	113850
302	20310	113754
303	20373	113663
304	20431	113547
305	20489	113429
306	20548	113318
307	20608	113215
308	20669	113111
309	20730	113014
310	20788	112901
311	20847	112789
312	20908	112692
313	20965	112570
314	21024	112462
315	21081	112343
316	21144	112257
317	21204	112155
